term,coefficient,std_error,p_value,rate_ratio,rate_ratio_low,rate_ratio_high
Intercept,5.037829290668304,0.025555696051454798,0.0,154.13506918935488,146.6048756093247,162.05204264363587
C(hour)[T.1],-0.17127393273098507,0.02580999736616671,3.224122938639633e-11,0.842590728675682,0.8010270213128945,0.8863110945827816
C(hour)[T.2],-0.7400693203481757,0.03995346384051371,1.3401021188173512e-76,0.4770808429646048,0.4411472008154383,0.5159414596830706
C(hour)[T.3],-1.1656966715980288,0.04936403773949331,2.748915737148584e-123,0.3117054300516889,0.2829603753144315,0.3433706045086411
C(hour)[T.4],-1.1757553784628714,0.05022453105402513,3.3817467749621616e-121,0.3085857925651908,0.27965637811889993,0.3405078475721394
C(hour)[T.5],-0.1472706078075352,0.037098597534102155,7.196069655753237e-05,0.8630603949318798,0.8025328238253931,0.9281529965957309
C(hour)[T.6],0.41811458192643614,0.03262801274283699,1.3585584036491977e-37,1.5190947252305658,1.4249900796729467,1.6194139293608014
C(hour)[T.7],-0.000761838950199073,0.03144454143927458,0.9806707286865597,0.999238451175413,0.9395145176861819,1.062758971267915
C(hour)[T.8],-0.11278765162654547,0.02828195830810565,6.664058825595293e-05,0.893340339344266,0.8451684931519655,0.9442578235772376
C(hour)[T.9],-0.1309641473040173,0.028493204376264517,4.299991418095103e-06,0.877249225577021,0.8296015101896054,0.9276335618043882
C(hour)[T.10],0.04051670248042111,0.027154158355636664,0.1356730979470029,1.0413487026635821,0.9873758911758802,1.0982718235581883
C(hour)[T.11],0.08821486883361235,0.02978210561686812,0.0030563871799159197,1.0922227814518917,1.0302927801690926,1.1578753411498415
C(hour)[T.12],0.1336921179034442,0.02901647214082115,4.076254751491897e-06,1.1430408436524815,1.0798486339341815,1.2099310303312494
C(hour)[T.13],0.22343418917695357,0.030176527270143118,1.31905696509389e-13,1.2503633501275244,1.1785552012368687,1.3265466952259528
C(hour)[T.14],0.18159509910128713,0.029250359797888387,5.355977788095356e-10,1.1991285673366041,1.1323164015122906,1.2698829753612195
C(hour)[T.15],0.14058912561239872,0.026244488498644667,8.466149700495423e-08,1.150951654264791,1.0932455855217005,1.2117036903677163
C(hour)[T.16],0.1717670540597807,0.026029568486947145,4.1416221032550003e-11,1.187401200705831,1.1283428334842789,1.2495507301480933
C(hour)[T.17],0.12921793735237802,0.026199954335743496,8.139569397450899e-07,1.137938096359439,1.0809788469834725,1.197898658941975
C(hour)[T.18],0.07060788892186173,0.025450370137951185,0.005531444314990346,1.073160345297773,1.0209423568613816,1.1280491195018598
C(hour)[T.19],0.19877104683065522,0.02563899988873572,8.997079263137035e-15,1.2199026333498588,1.1601154551290265,1.2827709761770296
